Axiom Name,Manchester Syntax Axioms
rice bacterial blight disease,rice bacterial disease is a PDO_0000014
rice bacterial leaf streak disease,rice bacterial disease is a PDO_0000019
rice bacterial disease,rice bacterial disease has RiceDO-Version2.RiceDO_000006
rice grassy stunt viral disease,rice viral disease is a PDO_0000123
rice rugged stunt viral disease,rice viral disease is a PDO_0000126
rice tungro viral disease,rice viral disease is a PDO_0000131
rice gall dwarf virus disease,rice viral disease is a RiceDO_000146
rice viral disease,rice viral disease has RiceDO-Version2.RiceDO_000006
rice bacterial blight disease,rice bacterial blight disease has obo.PDO_0000003
rice bacterial blight disease,rice bacterial blight disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000034) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000038 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000062)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000038 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000069)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000038 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000070)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000038 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000078)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000044 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000044 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000078)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000031) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000120) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000016))
rice bacterial blight disease,rice bacterial blight disease has RiceDO-Version2.RiceDO_000157.some(RiceDO-Version2.RiceDO_000052)
rice bacterial leaf streak disease,rice bacterial leaf streak disease has obo.PDO_0000003
rice bacterial leaf streak disease,rice bacterial leaf streak disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000034) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000042 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000072)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000042 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000078)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000042 & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000116)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000044 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000078))
rice bacterial leaf streak disease,rice bacterial leaf streak disease has RiceDO-Version2.RiceDO_000157.some(RiceDO-Version2.RiceDO_000052)
rice blast fungal disease,rice blast fungal disease has obo.PDO_0000081
rice blast fungal disease,rice blast fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000034) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000040 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000053) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000027)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000040 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000058) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000027)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000046 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000053) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000030) & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000087)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000046 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000030) & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000087)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000046 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000063) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000031) & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000087)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000053 & RiceDO-Version2.RiceDO_000058) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000101) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000018)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000027) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000099) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000019)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000027) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000112) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000019)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000031) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000093) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000021)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000092) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000018))
rice blast fungal disease,rice blast fungal disease has RiceDO-Version2.RiceDO_000157.some(RiceDO-Version2.RiceDO_000052)
rice brown spot fungal disease,rice brown spot fungal disease has obo.PDO_0000081
rice brown spot fungal disease,rice brown spot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000035)
rice brown spot fungal disease,rice brown spot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000046 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000080) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000030) & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000088))
rice brown spot fungal disease,rice brown spot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000046 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055 & RiceDO-Version2.RiceDO_000057 & RiceDO-Version2.RiceDO_000063) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000030) & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000085 & RiceDO-Version2.RiceDO_000091))
rice brown spot fungal disease,rice brown spot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000046 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055 & RiceDO-Version2.RiceDO_000079) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000031))
rice brown spot fungal disease,rice brown spot fungal disease has RiceDO-Version2.RiceDO_000157.some(RiceDO-Version2.RiceDO_000052)
rice false smut fungal disease,rice false smut fungal disease has obo.PDO_0000081
rice false smut fungal disease,rice false smut fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000032)
rice false smut fungal disease,rice false smut fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000045 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000053 & RiceDO-Version2.RiceDO_000054 & RiceDO-Version2.RiceDO_000071 & RiceDO-Version2.RiceDO_000072 & RiceDO-Version2.RiceDO_000073 & RiceDO-Version2.RiceDO_000078) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000022))
rice false smut fungal disease,rice false smut fungal disease has RiceDO-Version2.RiceDO_000157.some(RiceDO-Version2.RiceDO_000052)
rice leaf scald fungal disease,rice leaf scald fungal disease has obo.PDO_0000081
rice leaf scald fungal disease,rice leaf scald fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000037) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000039 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000058) & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000086 & RiceDO-Version2.RiceDO_000091)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000039 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000059) & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000088)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000057) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000031) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000093) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000131 & RiceDO-Version2.RiceDO_000140))
rice leaf scald fungal disease,rice leaf scald fungal disease has RiceDO-Version2.RiceDO_000157.some(RiceDO-Version2.RiceDO_000052)
rice narrow brown leaf spot fungal disease,rice narrow brown leaf spot fungal disease has obo.PDO_0000081
rice narrow brown leaf spot fungal disease,rice narrow brown leaf spot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000033) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000042 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000030)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000043 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000057 & RiceDO-Version2.RiceDO_000059)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055 & RiceDO-Version2.RiceDO_000059 & RiceDO-Version2.RiceDO_000078) & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000090) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000111) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000135))
rice narrow brown leaf spot fungal disease,rice narrow brown leaf spot fungal disease has RiceDO-Version2.RiceDO_000157.some(RiceDO-Version2.RiceDO_000052)
rice sheath blight fungal disease,rice sheath blight fungal disease has obo.PDO_0000081
rice sheath blight fungal disease,rice sheath blight fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000033) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000039 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055 & RiceDO-Version2.RiceDO_000065)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000041 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000069)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000041 & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000086 & RiceDO-Version2.RiceDO_000091)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000097 & RiceDO-Version2.RiceDO_000120) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000016 & RiceDO-Version2.RiceDO_000135))
rice sheath blight fungal disease,rice sheath blight fungal disease has RiceDO-Version2.RiceDO_000157.some(RiceDO-Version2.RiceDO_000052)
rice sheath rot fungal disease,rice sheath rot fungal disease has obo.PDO_0000081
rice sheath rot fungal disease,rice sheath rot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000041 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000056))
rice sheath rot fungal disease,rice sheath rot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000050 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000064 & RiceDO-Version2.RiceDO_000075))
rice sheath rot fungal disease,rice sheath rot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000053) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000115) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000022))
rice sheath rot fungal disease,rice sheath rot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000111) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000136))
rice sheath rot fungal disease,rice sheath rot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000076) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000105) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000135))
rice sheath rot fungal disease,rice sheath rot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055 & RiceDO-Version2.RiceDO_000056) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000111) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000016))
rice sheath rot fungal disease,rice sheath rot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000057 & RiceDO-Version2.RiceDO_000060) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000022))
rice sheath rot fungal disease,rice sheath rot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000063 & RiceDO-Version2.RiceDO_000077) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000111) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000137))
rice sheath rot fungal disease,rice sheath rot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000108) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000019))
rice sheath rot fungal disease,rice sheath rot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000108) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000135 & RiceDO-Version2.RiceDO_000138))
rice sheath rot fungal disease,rice sheath rot fungal disease has RiceDO-Version2.RiceDO_000157.some(RiceDO-Version2.RiceDO_000052)
rice stem rot fungal disease,rice stem rot fungal disease has obo.PDO_0000081
rice stem rot fungal disease,rice stem rot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000032)
rice stem rot fungal disease,rice stem rot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000050 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055))
rice stem rot fungal disease,rice stem rot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055 & RiceDO-Version2.RiceDO_000057) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000101) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000023))
rice stem rot fungal disease,rice stem rot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000108) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000023 & RiceDO-Version2.RiceDO_000135))
rice stem rot fungal disease,rice stem rot fungal disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000095 & RiceDO-Version2.RiceDO_000119) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000023))
rice stem rot fungal disease,rice stem rot fungal disease has RiceDO-Version2.RiceDO_000157.some(RiceDO-Version2.RiceDO_000052)
rice blast fungal disease,rice fungal disease is a PDO_0000031
rice brown spot fungal disease,rice fungal disease is a PDO_0000033
rice false smut fungal disease,rice fungal disease is a PDO_0000041
rice leaf scald fungal disease,rice fungal disease is a PDO_0000047
rice narrow brown leaf spot fungal disease,rice fungal disease is a PDO_0000049
rice sheath blight fungal disease,rice fungal disease is a PDO_0000051
rice sheath rot fungal disease,rice fungal disease is a PDO_0000053
rice stem rot fungal disease,rice fungal disease is a PDO_0000059
rice bakanae fungal disease,rice fungal disease is a PDO_0000168
rice dirty panicle fungal disease,rice fungal disease is a RiceDO_000145
rice fungal disease,rice fungal disease has RiceDO-Version2.RiceDO_000006
rice grassy stunt viral disease,rice grassy stunt viral disease has obo.PDO_0000007
rice grassy stunt viral disease,rice grassy stunt viral disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000036)
rice grassy stunt viral disease,rice grassy stunt viral disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000068 & RiceDO-Version2.RiceDO_000071 & RiceDO-Version2.RiceDO_000080) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000103 & RiceDO-Version2.RiceDO_000109) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000016))
rice grassy stunt viral disease,rice grassy stunt viral disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000098) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000024))
rice grassy stunt viral disease,rice grassy stunt viral disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000100 & RiceDO-Version2.RiceDO_000112) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000023))
rice grassy stunt viral disease,rice grassy stunt viral disease has RiceDO-Version2.RiceDO_000157.some(RiceDO-Version2.RiceDO_000052)
rice rugged stunt viral disease,rice rugged stunt viral disease has obo.PDO_0000007
rice rugged stunt viral disease,rice rugged stunt viral disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000036)
rice rugged stunt viral disease,rice rugged stunt viral disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055 & RiceDO-Version2.RiceDO_000078) & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000082) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000117) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000130))
rice rugged stunt viral disease,rice rugged stunt viral disease has RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000057 & RiceDO-Version2.RiceDO_000076 & RiceDO-Version2.RiceDO_000080) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000113) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000139 & RiceDO-Version2.RiceDO_000142))
